ship_1_x,ship_1_y,ship_1_u,ship_1_psi,ship_1_wp,ship_1_vir_wp,colav_log,ship_2_x,ship_2_y,ship_2_u,ship_2_psi,ship_2_wp,ship_2_x_pred,ship_2_y_pred,time
275000.0,7044940.0,10.0,1.5707963267948966,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,282000.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952764196,7052000.018785095,0
275000.0,7044940.0,10.0,1.5707963267948966,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,281990.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395276794,7052000.018800833,1
275000.0,7044950.0,10.0,1.57,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,281960.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952779114,7052000.018848181,2
275000.0,7044960.0,10.0,1.57,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,281950.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395278281,7052000.018864031,3
275000.0,7044970.0,10.0,1.57,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,281950.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395278281,7052000.018864031,4
275000.0,7044980.0,10.0,1.57,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",1.0,281920.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952787083,7052000.018911693,5
275000.0,7044990.0,10.0,1.57,"[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,281920.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952787083,7052000.018911693,6
275000.0,7045000.0,10.0,1.57,"[[274962, 7045367, 10.0], [275662, 7051517, 10.0], [274962, 7052217, 10.0], [274962, 7057017, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,281920.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952787083,7052000.018911693,7
275000.0,7045010.0,10.0,1.57,"[[274962, 7045367, 10.0], [275662, 7051517, 10.0], [274962, 7052217, 10.0], [274962, 7057017, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,281900.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952794394,7052000.018943616,8
275000.0,7045010.0,10.0,1.57,"[[274962, 7045367, 10.0], [275662, 7051517, 10.0], [274962, 7052217, 10.0], [274962, 7057017, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,281880.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395280166,7052000.018975653,9
275000.0,7045030.0,10.0,1.57,"[[274962, 7045367, 10.0], [275662, 7051517, 10.0], [274962, 7052217, 10.0], [274962, 7057017, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,281870.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952805273,7052000.018991703,10
275000.0,7045040.0,10.0,1.57,"[[274962, 7045367, 10.0], [275662, 7051517, 10.0], [274962, 7052217, 10.0], [274962, 7057017, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,281860.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952808876,7052000.019007778,11
275000.0,7045050.0,10.0,1.57,"[[274962, 7045367, 10.0], [275662, 7051517, 10.0], [274962, 7052217, 10.0], [274962, 7057017, 10.0]]","[[275000, 7044940, 10.0], [275000, 7060000, 10.0]]",0.0,281860.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952808876,7052000.019007778,12
