ship_1_x,ship_1_y,ship_1_u,ship_1_psi,ship_1_wp,ship_1_vir_wp,colav_log,ship_2_x,ship_2_y,ship_2_u,ship_2_psi,ship_2_wp,ship_2_x_pred,ship_2_y_pred,ship_3_x,ship_3_y,ship_3_u,ship_3_psi,ship_3_wp,ship_3_x_pred,ship_3_y_pred,time
275000.0,7044500.0,10.0,1.5707963267948966,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",0.0,273003.09,7046009.51,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276794.74621226254,7057384.162359857,281990.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395276794,7052000.018800833,0
275000.0,7044500.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",0.0,273003.09,7046009.51,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276794.74621226254,7057384.162359857,281990.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395276794,7052000.018800833,1
275000.0,7044510.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",0.0,273006.18,7046019.02,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276797.9042260117,7057393.649691284,281980.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952771676,7052000.018816593,2
275000.0,7044520.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",0.0,273006.18,7046019.02,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276797.9042260117,7057393.649691284,281980.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952771676,7052000.018816593,3
275000.0,7044520.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",0.0,273012.36,7046038.04,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276804.22057730483,7057412.624244249,281960.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952779114,7052000.018848181,4
275000.0,7044540.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",0.0,273018.55,7046057.06,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276810.5387917452,7057431.601508216,281950.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.0395278281,7052000.018864031,5
275000.0,7044550.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",0.0,273018.55,7046057.06,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276810.5387917452,7057431.601508216,281930.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952783416,7052000.018895775,6
275000.0,7044560.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",0.0,273024.74,7046076.08,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276816.8574146447,7057450.5786340665,281930.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952783416,7052000.018895775,7
275000.0,7044570.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",0.0,273027.83,7046085.59,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276820.0161753518,7057460.065712837,281910.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952790744,7052000.018927655,8
275000.0,7044580.0,10.0,1.57,"[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]","[[275000, 7044500, 10.0], [275000, 7060000, 10.0]]",1.0,273030.93,7046095.1,10.0,1.26,"[[273000, 7046000, 10.0], [277000, 7058000, 10.0]]",276823.1764481333,7057469.5556217935,281910.0,7052000.0,10.0,3.14,"[[282000, 7052000, 10.0], [270000, 7052000, 10.0]]",270240.03952790744,7052000.018927655,9
